experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.22529450431856404,0.7122248353292064,0.24739080015461928,0.8080808080808081
M1_add_cascade,43,0.26441876384867263,0.7233857306337235,0.23558718861209968,0.8358585858585859
M2_add_network,53,0.23531983414454988,0.6982845102827262,0.23324498296099963,0.7777777777777778
M3_add_temporal,80,0.18102620928417712,0.6597824813703493,0.23657474600870826,0.8232323232323232
M4_add_text,87,0.24756602737186062,0.7494135527141771,0.2296273856407149,0.9570707070707071
full_with_coordination,102,0.17213514774763286,0.6930857039019394,0.22776711452335255,0.898989898989899
