feature
close
high
low
trade_count
open
vwap
returns
returns_mean
returns_std
returns_z
is_luld
is_price_spike
is_anomaly
is_episode_t
close_lag5min
returns_lag5min
high_lag5min
low_lag5min
returns_z_lag5min
is_official_halt
is_official_halt_lag1
is_official_halt_lag2
node_count
edge_count
num_components
largest_component_size
unique_users
total_score
avg_score
max_score
is_burst
burst_intensity
user_growth
caps_ratio
exclamation_ratio
pct_posts_under_5sec
