rank,feature,coefficient
1,high,8.811046707486378
2,low,7.334960171733353
3,unique_users,6.520637569827087
4,avg_betweenness,2.601831948675644
5,trade_count,2.531229866066602
6,node_count,1.7520723006659846
7,num_components,1.6359858701912218
8,cascade_size_sum,1.4712613298529116
9,cascade_breadth_max,1.3754992899766212
10,cascade_count,1.1675980422888566
11,low_lag5min,1.0106081445806905
12,cascade_size_mean,0.8062161552915332
13,cascade_breadth_mean,0.8052354894153234
14,max_betweenness,0.7462817671198841
15,vwap,0.707196214610894
16,largest_component_size,0.6894490893562852
17,avg_clustering,0.6726407444676228
18,close,0.6723845135823143
19,cascade_depth_max,0.6630352181225551
20,edge_count,0.6431994069683808
