experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.27794348882066106,0.7593967394010165,0.13007668276057938,0.9087301587301587
M1_add_cascade,43,0.27694036001225036,0.7396210979401742,0.1310694072088174,0.873015873015873
M2_add_network,53,0.28385856468378773,0.7429890785322778,0.13190092509698598,0.876984126984127
M3_add_temporal,80,0.2551332749155184,0.8084533880085635,0.17043847241867044,0.9563492063492064
M4_add_text,87,0.2577367685243149,0.8098904232351622,0.16894497020679985,0.9563492063492064
full_with_coordination,102,0.25245276150721535,0.8145076061029868,0.17040673211781204,0.9642857142857143
