experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.3338127006820289,0.7481400385057834,0.18924302788844619,0.9595959595959596
M1_add_cascade,43,0.33100871172167473,0.723759299807471,0.1914672216441207,0.9292929292929293
M2_add_network,53,0.32762304452406477,0.7229922628004698,0.18938006800941667,0.9141414141414141
M3_add_temporal,80,0.30288187087381313,0.7467032051108768,0.21347031963470323,0.9444444444444444
M4_add_text,87,0.3034332452461529,0.7467606484109605,0.21383647798742136,0.9444444444444444
full_with_coordination,102,0.30097351971516956,0.748758774182503,0.2125465482669722,0.9368686868686869
