,0
trade_count,0.48948178
volume_mean,0.3988706
returns_std,0.36189902
volume_std,0.3222768
open,0.24329436
volume_z,0.15276884
comment_volume_30min,0.14808086
low_lag5min,0.12670234
caps_ratio,0.120643236
returns_z,0.119679876
high,0.118951894
volume_mean_60min,0.11485225
vol_accel,0.110319555
high_low_range,0.09600274
volume_std_60min,0.09559851
returns_10bar_sum,0.09520832
returns_mean,0.094951384
volume_z_lag5min,0.093605235
node_count,0.087193266
volume,0.08384695
