experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.4302303297950331,0.7499159694944789,0.3561013046815042,0.8027681660899654
M1_add_cascade,43,0.43466646665988334,0.750532193201633,0.350944851523332,0.78719723183391
M2_add_network,53,0.423777486226833,0.7481706368587712,0.35223160434258144,0.7577854671280276
M3_add_temporal,80,0.43830974611369183,0.7451803474131115,0.37170474516695956,0.7318339100346021
M4_add_text,87,0.44185704951367644,0.7444205375994362,0.3659359190556492,0.7508650519031141
M5_add_interaction,98,0.43644226775672695,0.7402821031883731,0.3557611438183347,0.7318339100346021
full_with_coordination,113,0.45391249441878606,0.7440550456919273,0.37233579817311874,0.740484429065744
