Rank,Feature,SHAP Importance
1,trade_count,0.5309356420247486
2,low_lag5min,0.5010142554993876
3,volume_std,0.4437518078280784
4,returns_std,0.4011928528868304
5,volume_mean,0.3829231898164716
6,comment_volume_30min,0.318269803104473
7,close,0.2177819503013299
8,vwap,0.2038026564423888
9,high,0.1978855174467844
10,high_lag5min,0.1652936690389931
11,caps_ratio,0.1359926007589262
12,volume_std_60min,0.1284813626702987
13,volume_z,0.1169137614911998
14,returns_mean,0.1131645754329978
15,volume_mean_60min,0.110904536676759
16,low,0.0909079947545956
17,pct_posts_under_5sec,0.0894644089384597
18,volume,0.089352722610093
19,open,0.0835492086617417
20,close_lag5min,0.0825449364117198
