Experiment,Feature Groups,XGBoost_PR-AUC,XGBoost_ROC-AUC,LightGBM_PR-AUC,LightGBM_ROC-AUC,Logistic_PR-AUC,Logistic_ROC-AUC,CNN-GRU_PR-AUC,CNN-GRU_ROC-AUC,Best Model,Best PR-AUC
baseline_market,market,0.4375,0.8003,0.4537,0.7884,0.3338,0.7481,0.2253,0.7122,LightGBM,0.4537
M1_add_cascade,market + cascade,0.4314,0.7958,0.4831,0.7963,0.331,0.7238,0.2644,0.7234,LightGBM,0.4831
M2_add_network,market + cascade + network,0.4256,0.7972,0.4855,0.8057,0.3276,0.723,0.2353,0.6983,LightGBM,0.4855
M3_add_temporal,market + cascade + network + temporal,0.5039,0.8068,0.5358,0.8185,0.3029,0.7467,0.181,0.6598,LightGBM,0.5358
M4_add_text,market + cascade + network + temporal + text,0.4807,0.7934,0.5154,0.8081,0.3034,0.7468,0.2476,0.7494,LightGBM,0.5154
M5_add_interaction,M5_add_interaction,0.4719,0.7893,,,,,,,XGBoost,0.4719
full_with_coordination,market + cascade + network + temporal + text + coordination,0.4943,0.7855,0.5371,0.8225,0.301,0.7488,0.1721,0.6931,LightGBM,0.5371
