Rank,Feature,SHAP Importance
1,low_lag5min,0.6339166690661384
2,returns_std,0.4385616529991242
3,trade_count,0.4138515940682163
4,volume_std,0.3247908080055064
5,volume_z_lag5min,0.2773548824913579
6,volume_z,0.2741924926561381
7,volume_mean,0.2422872402791284
8,volume_zscore,0.230817930263453
9,node_count,0.205483229053261
10,low,0.194982490379259
11,volume,0.1671200061212347
12,high_lag5min,0.1628393689098321
13,high,0.1613773938747985
14,returns_z,0.1547086931848191
15,avg_betweenness,0.1364804048397087
16,returns_lag5min,0.134260974586294
17,returns,0.1257479122297394
18,volume_lag5min,0.107322837825013
19,returns_z_lag5min,0.1037051250845704
20,unique_users,0.0975668755498563
