experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.5308546155042584,0.8790038969679688,0.31217326362957437,0.8293650793650794
M1_add_cascade,43,0.5413144939618528,0.872782779112976,0.3149728471683476,0.8055555555555556
M2_add_network,53,0.5717128636386224,0.881420831805776,0.3210272873194222,0.7936507936507936
M3_add_temporal,80,0.6155195597966021,0.8719533721672303,0.3083969465648855,0.8015873015873016
M4_add_text,87,0.6196751094790232,0.8766797470818002,0.30723340790454884,0.8174603174603174
full_with_coordination,102,0.6240062896761882,0.8800607401976093,0.33252230332522303,0.8134920634920635
