,0
low_lag5min,0.6339166690661384
returns_std,0.4385616529991242
trade_count,0.41385159406821637
volume_std,0.32479080800550647
volume_z_lag5min,0.2773548824913579
volume_z,0.2741924926561381
volume_mean,0.24228724027912849
volume_zscore,0.23081793026345301
node_count,0.20548322905326102
low,0.19498249037925905
volume,0.16712000612123476
high_lag5min,0.16283936890983217
high,0.16137739387479855
returns_z,0.15470869318481914
avg_betweenness,0.13648040483970872
returns_lag5min,0.13426097458629402
returns,0.12574791222973947
volume_lag5min,0.10732283782501309
returns_z_lag5min,0.10370512508457048
unique_users,0.09756687554985631
