experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.3858089868360954,0.7344195477255199,0.26485090396806765,0.9757785467128027
M1_add_cascade,43,0.38430679326636763,0.710148056855747,0.2639520958083833,0.9532871972318339
M2_add_network,53,0.38001308121880484,0.7024096359330757,0.26461390425787823,0.9515570934256056
M3_add_temporal,80,0.39888602965438597,0.7323185131441116,0.27478260869565213,0.9567474048442907
M4_add_text,87,0.4003517684289692,0.7336360788374748,0.27374163153979664,0.9550173010380623
full_with_coordination,102,0.3990716885000862,0.7355317961642929,0.2742857142857143,0.9550173010380623
