,0
returns_std,0.4283001
volume_mean,0.37766546
trade_count,0.37763026
volume_z,0.36169356
volume_std,0.28667906
returns_z,0.2574456
volume_z_lag5min,0.17444742
returns_mean,0.17060019
emoji_density,0.163828
returns_lag5min,0.13539141
volume_std_60min,0.11928268
caps_ratio,0.118480705
close,0.117685266
volume_lag5min,0.11253715
low_lag5min,0.11248361
returns,0.104068495
volume,0.09902246
vwap,0.09596025
total_score,0.09200255
close_lag5min,0.09019809
