experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.43749633624808537,0.8002835371256424,0.32,0.7878787878787878
M1_add_cascade,43,0.43138666291947925,0.7958209811465832,0.31221490116573747,0.7777777777777778
M2_add_network,53,0.42558797967033707,0.797151563208655,0.34003446295232626,0.7474747474747475
M3_add_temporal,80,0.5038715707135869,0.8068320733351955,0.331415420023015,0.7272727272727273
M4_add_text,87,0.48067304134531524,0.7934323911130333,0.32,0.7474747474747475
M5_add_interaction,98,0.47189448421989394,0.7893336427011718,0.32739804709936815,0.7196969696969697
full_with_coordination,113,0.4942675436879142,0.785547265698916,0.3297362110311751,0.6944444444444444
