experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.4536897326602498,0.7883984057043825,0.2647641696393183,0.8434343434343434
M1_add_cascade,43,0.4830832101884892,0.7962602534413418,0.28064243448858833,0.8383838383838383
M2_add_network,53,0.4855122100373267,0.8056877126903889,0.27222659323367426,0.8737373737373737
M3_add_temporal,80,0.5358188363723801,0.8185475029810444,0.30485611510791366,0.8560606060606061
M4_add_text,87,0.5154278314480049,0.808086064330489,0.3012552301255231,0.8181818181818182
full_with_coordination,102,0.5370674761582843,0.8224589036364238,0.30919220055710306,0.8409090909090909
