experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.434973174764238,0.7548865506592451,0.33514246947082765,0.8546712802768166
M1_add_cascade,43,0.44170101121142263,0.7524640789984652,0.3357118586476385,0.8546712802768166
M2_add_network,53,0.4324483299582764,0.7471731485278617,0.3259940847847519,0.8581314878892734
M3_add_temporal,80,0.45116090787922497,0.7613446621321014,0.36207540126913024,0.8391003460207612
M4_add_text,87,0.46583018903997747,0.7649022254758737,0.3653846153846154,0.8546712802768166
full_with_coordination,102,0.4740390726495258,0.761584516196404,0.35910589959692196,0.8477508650519031
