,0
trade_count,0.5309356420247486
low_lag5min,0.5010142554993876
volume_std,0.44375180782807844
returns_std,0.4011928528868304
volume_mean,0.3829231898164716
comment_volume_30min,0.31826980310447306
close,0.21778195030132994
vwap,0.20380265644238885
high,0.1978855174467844
high_lag5min,0.16529366903899317
caps_ratio,0.13599260075892627
volume_std_60min,0.12848136267029878
volume_z,0.11691376149119985
returns_mean,0.11316457543299789
volume_mean_60min,0.11090453667675908
low,0.09090799475459561
pct_posts_under_5sec,0.08946440893845976
volume,0.08935272261009307
open,0.08354920866174177
close_lag5min,0.08254493641171984
