experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.5250262799767964,0.8801569197206495,0.3448873483535529,0.7896825396825397
M1_add_cascade,43,0.5008087078483137,0.8586319424642777,0.35447761194029853,0.753968253968254
M2_add_network,53,0.5049738505026801,0.8676207675352243,0.386411889596603,0.7222222222222222
M3_add_temporal,80,0.5957369049149749,0.8754475176630864,0.41111111111111115,0.7341269841269841
M4_add_text,87,0.5825426641355399,0.8670391643017819,0.3878406708595388,0.7341269841269841
M5_add_interaction,98,0.5651037356789796,0.8558110536297021,0.4119601328903655,0.7380952380952381
full_with_coordination,113,0.5741042844997214,0.8627212694791823,0.44416243654822335,0.6944444444444444
