,0
volume_z,0.6405986
returns_z,0.55415434
returns_std,0.5026405
trade_count,0.377439
volume_mean,0.3413114
high_lag5min,0.31233674
volume_std,0.3017088
volume_z_lag5min,0.2380349
volume_zscore,0.21288973
emoji_density,0.2024382
volume_lag5min,0.19764037
vwap,0.19673938
volume,0.17831464
node_count,0.1769025
returns_lag5min,0.16875838
returns_z_lag5min,0.16574569
returns_mean,0.1568614
caps_ratio,0.15262736
returns,0.15123835
is_official_halt_lag1,0.13837515
