experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.17901928684746587,0.7423305316804033,0.17669987007362495,0.8095238095238095
M1_add_cascade,43,0.1819706234198096,0.7274057327521827,0.15936555891238668,0.8373015873015873
M2_add_network,53,0.2025135082042586,0.7398117597005536,0.14290057768318637,0.9325396825396826
M3_add_temporal,80,0.19600765207130735,0.7608631942464278,0.16143497757847533,0.9285714285714286
M4_add_text,87,0.18480792024505285,0.7690310988001321,0.15399361022364216,0.9563492063492064
full_with_coordination,102,0.2562582049618005,0.7794959966687939,0.1791862284820031,0.9087301587301587
