experiment,n_features,pr_auc,roc_auc,f1,recall
baseline_market,31,0.3385921430101468,0.6856658098637128,0.31493745401030177,0.740484429065744
M1_add_cascade,43,0.19141484697234545,0.6282634565744488,0.31645569620253167,0.7785467128027682
M2_add_network,53,0.22522409902876178,0.6345894035628935,0.2985294117647059,0.7024221453287197
M3_add_temporal,80,0.1993000416814098,0.6338486297860677,0.31020408163265306,0.8546712802768166
M4_add_text,87,0.2106696310276862,0.6535895438856794,0.31435643564356436,0.8788927335640139
full_with_coordination,102,0.20619607564348164,0.633878815501643,0.3217821782178218,0.78719723183391
